Address,Lat,Long,Provider,bank_name,institution,transit,routing
"Papineau et Sainte-Catherine, 1700, rue Sainte-Catherine Est, Montreal, QC H2L 2J4",45.5223520125832,-73.5522920235769,arcgis,BANK OF MONTREAL,1,1571,101571
"Rue Peel, 2005, rue Peel, Montreal, QC H3A 1T7",45.5011499046819,-73.5748059831442,arcgis,BANK OF MONTREAL,1,1581,101581
"5145 chemin de la Cote-des-Neiges, Montreal, QC H3T 1X9",45.4954888091867,-73.6191962909043,arcgis,BANK OF MONTREAL,1,1591,101591
"Sainte-Anne-de-Bellevue Branch, 93, rue Sainte-Anne, Sainte-Anne-de-Bellevue, QC H9X 1L9",45.4035868986526,-73.9514576988069,arcgis,BANK OF MONTREAL,1,1611,101611
"6700 rue St-Hubert, Montreal, QC H2S 2M6",45.5376248040877,-73.606850166622,arcgis,BANK OF MONTREAL,1,1631,101631
"5651 avenue Verdun, Verdun, QC H4H 1L6",45.4506405142372,-73.5726893011353,arcgis,BANK OF MONTREAL,1,1641,101641
"Westmount, 1299, av. Greene, Westmount, QC H3Z 2A6",45.4872330955636,-73.58978519849,arcgis,BANK OF MONTREAL,1,1661,101661
"Cote-des-Neiges et Queen Mary, 5145, chemin de la Cote-des-Neiges, Montreal, QC H3T 1X9",45.4954888091867,-73.6191962909043,arcgis,BANK OF MONTREAL,1,1681,101681
"Masson et 5e Avenue, 2831, rue Masson, Montreal, QC H1Y 1W8",45.5474613865593,-73.5754813969021,arcgis,BANK OF MONTREAL,1,1691,101691
"Montreal Ouest, 101, AVENUE WESTMINSTER NORTH, Montreal West, QC H4X 1Z3",45.4538726180111,-73.6473593179357,arcgis,BANK OF MONTREAL,1,1701,101701
"61 Boul. Rene-Levesque Ouest, Montreal, QC H2Z 1A3",45.5082689903249,-73.5625880181615,arcgis,BANK OF MONTREAL,1,1711,101711
"Guy et Sherbrooke, 1601, rue Sherbrooke Ouest, Montreal, QC H3H 1E2",45.4963640056068,-73.5823170065797,arcgis,BANK OF MONTREAL,1,1721,101721
"1205, rue Ste-Catherine Ouest, Montreal, QC H3B 1K7",45.4988527183881,-73.5743162285417,arcgis,BANK OF MONTREAL,1,1731,101731
"ILES DES SOEURS, 38 PLACE DU COMMERCE, Montreal, QC H3E 1T8",45.4675569969544,-73.5413850720699,arcgis,BANK OF MONTREAL,1,1751,101751
"Clayton Park West, 360 Lacewood drive, Halifax, NS B3S 1M7",44.6583740993675,-63.6706995701747,arcgis,BANK OF MONTREAL,1,1763,101763
"Saint-Charles et Principale, 399, rue Principale, Granby, QC J2G 2W7",45.4033271015637,-72.7334013733703,arcgis,BANK OF MONTREAL,1,1771,101771
"5501 avenue Monkland, Montreal, QC H4A 1C8",45.4768070138417,-73.6220110178096,arcgis,BANK OF MONTREAL,1,1781,101781
"1700 Rue Ste-Catherine, Montreal, QC H2L 2J4",45.5223520125832,-73.5522920235769,arcgis,BANK OF MONTREAL,1,1791,101791
